Question text,Explannation,Correct Answer ID, Correct Answer
What is Quality assurance (QA)?,Quality assurance (QA) is a systematic process of checking to see whether a product or service being developed is meeting specified requirements. It involves conducting various tests and evaluations to ensure that the product or service meets the desired quality standards. QA is important to identify any defects or issues in the development process and rectify them before the final product is released to the market. It helps in ensuring customer satisfaction and maintaining the reputation of the organization.,Answer 2,Any systematic process of checking to see whether a product or service being developed is meeting specified requirements
What is Software Testing?,"The correct answer is ""All above"" because software testing encompasses all the options mentioned. It is a process of executing a program or application to find bugs, evaluating a system to verify if it meets specified requirements, and determining if a program or system meets its required results. Therefore, all the given options are valid explanations for software testing.",Answer 8,All above
Impact Analysis helps to decide:,"Impact Analysis helps to determine how much regression testing should be done. It involves identifying the areas of the software that are likely to be affected by changes or updates and evaluating the potential impact on the existing functionality. By analyzing the impact, testers can prioritize the areas that require more extensive regression testing and allocate appropriate resources and time. This ensures that the right amount of regression testing is performed, focusing on the critical areas and reducing the risk of introducing new defects.",Answer 12,How much regression testing should be done?
Unreachable code would best be found using:,"Code reviews would be the best way to find unreachable code because during code reviews, other developers can analyze the code and identify any sections that are not being executed or are unreachable. This can be done by reviewing the logic of the code, checking for any conditional statements or loops that may prevent certain sections from being reached, and identifying any dead code or redundant statements. Code inspections, coverage tools, and static analysis tools may also help in detecting unreachable code, but they may not provide the same level of understanding and context as a thorough code review by experienced developers.",Answer 13,Code reviews
The main focus of acceptance testing is:,"Acceptance testing is a type of testing that evaluates whether a system meets the business requirements and is acceptable for delivery to the end users. It focuses on testing the system from a business perspective, ensuring that it aligns with the goals and objectives of the organization. This type of testing is typically performed by the users or stakeholders of the system, and it aims to validate that the system functions correctly and meets the needs of the business.",Answer 20,Testing for a business perspective
Before launching software which testing is to be done in-house?,"Before launching software, the testing that is typically done in-house is called Alpha testing. Alpha testing is performed by the software development team in a controlled environment to identify any bugs or issues before the software is released to a wider audience for further testing (such as Beta testing). This allows the team to fix any identified issues and ensure that the software is stable and functional before it is released to the public.",Answer 24,Alpha
Non-functional system testing includes:,"Non-functional system testing involves evaluating the quality attributes of the system, such as its performance and usability. This type of testing focuses on aspects other than the system's functional requirements, aiming to ensure that the system meets the desired levels of performance, reliability, scalability, and user-friendliness. By conducting non-functional system testing, organizations can identify and address any issues related to the system's performance or usability, thus enhancing the overall user experience and satisfaction.",Answer 28,"Testing quality attributes of the system, including performance and usability"
What are the Types of Integration Testing?,"The correct answer is ""All the above"" because all three options mentioned (Top Down Testing, Big Bang Testing, Bottom Up Testing) are types of integration testing. Top Down Testing involves testing the higher-level modules first and then gradually integrating the lower-level modules. Bottom Up Testing involves testing the lower-level modules first and then integrating the higher-level modules. Big Bang Testing involves testing all the modules together at once. Therefore, all three options are valid types of integration testing.",Answer 33,All the above
"Requirements/ Design Review, Test Planning, Test Environment Setup, Test Designing, Test Execution, and Test Reporting is called Software Testing Life Cycle (STLC)","The given statement is true. The sequence of activities mentioned, including requirements/design review, test planning, test environment setup, test designing, test execution, and test reporting, collectively form the Software Testing Life Cycle (STLC). These activities are performed in a systematic manner to ensure that the software being developed meets the desired quality standards.",Answer 34,True
"Requirement and Analysis, Design, Development or Coding, Testing, and Maintenance is called a Software Development Life Cycle (SDLC )","The statement is true because the Software Development Life Cycle (SDLC) consists of several phases, including requirement and analysis, design, development or coding, testing, and maintenance. These phases represent the sequential steps involved in the development of software, from understanding the requirements to maintaining and updating the software after its deployment. Therefore, the given statement accurately describes the SDLC.",Answer 36,True
What is the primary goal of Software Quality Assurance (SQA)?,"SQA focuses on ensuring that software processes and products meet specified requirements and standards. While finding bugs (A) is part of testing, SQA is broader and encompasses the entire software development lifecycle to prevent defects and ensure quality.",Answer 39,To ensure the software meets requirements and functions correctly
Which of the following best describes the difference between Quality Assurance (QA) and Quality Control (QC)?,QA is process-oriented and focuses on preventing defects by improving development processes. QC is product-oriented and focuses on identifying defects in the actual software product through testing and inspection.,Answer 42,QA is process-oriented; QC is product-oriented
What does the V-Model of software development emphasize?,"The V-Model illustrates how each development phase (requirements, design, coding) has a corresponding testing phase (acceptance testing, system testing, unit testing), emphasizing verification and validation at each stage.",Answer 47,The relationship between development phases and corresponding testing phases
Which testing level is performed first in the software testing lifecycle?,Unit testing is performed first. Developers test individual components or modules in isolation before they are integrated. The typical order is: Unit → Integration → System → Acceptance testing.,Answer 52,Unit Testing
Black-box testing is also known as:,Black-box testing tests functionality without knowing internal code structure. It's also called functional or behavioral testing. White-box testing (structural/glass-box) requires knowledge of internal code.,Answer 55,Functional testing
Which of the following is NOT a principle of software testing?,Exhaustive testing (testing every possible input combination) is generally impossible except for trivial programs. This is a fundamental principle of software testing known from ISTQB.,Answer 59,Exhaustive testing is possible
What is the main purpose of a Test Plan?,"A Test Plan is a management document that describes what will be tested, how it will be tested, by whom, and according to what schedule. It serves as a guide for the testing process.",Answer 63,"To document the scope, approach, resources, and schedule of testing activities"
"In Agile methodology, when should testing activities begin?","In Agile, testing is integrated throughout the development lifecycle. Testers participate in story refinement and sprint planning, and testing begins as early as possible, often starting from requirements/user stories.",Answer 68,"As early as possible, often starting from requirements"
What is Regression Testing?,"Regression testing verifies that recent code changes haven't adversely affected existing features. Re-testing (B) is specifically testing a fixed defect, while regression ensures no collateral damage occurred.",Answer 72,Testing existing functionality to ensure new changes haven't broken anything
Which metric measures the percentage of defects found by testing versus defects found by customers after release?,"Defect Removal Efficiency = (Defects found during testing / Total defects found) × 100. A high DRE indicates effective testing processes. Defect density (A) measures defects per size unit (e.g., per KLOC).",Answer 75,Defect Removal Efficiency (DRE)
What is the primary focus of Non-Functional Testing?,"Non-functional testing evaluates aspects like performance, security, usability, reliability, and scalability—not what the system does, but how well it performs its functions.",Answer 79,Testing how the system performs under various conditions
Which of the following is a static testing technique?,"Static testing examines work products without executing code. Code reviews, walkthroughs, and static analysis are static techniques. Dynamic testing (A, B, D) requires code execution.",Answer 84,Code Review
"What does ""Shift Left"" testing mean?","Shift Left emphasizes starting testing activities earlier in the SDLC to find and fix defects sooner, when they are cheaper to resolve. This includes requirements validation, design reviews, and early automation.",Answer 86,Moving testing activities earlier in the development lifecycle
Which test design technique involves dividing input data into classes that are expected to behave similarly?,"Equivalence Partitioning divides input domains into classes of equivalent data. Testing one value from each partition assumes it represents the whole class, reducing redundant test cases.",Answer 91,Equivalence Partitioning
Boundary Value Analysis (BVA) focuses on:,"BVA tests values at the boundaries between partitions because defects often occur at edges (e.g., minimum, maximum, just below/above boundaries). It's typically used with Equivalence Partitioning.",Answer 95,Values at the edges of equivalence partitions
What is the main purpose of Continuous Integration (CI) in QA?,"CI involves frequently integrating code changes into a shared repository, where automated builds and tests run. This catches integration issues early and maintains code quality.",Answer 99,To merge code changes frequently and verify them with automated builds and tests
Which of the following is an example of a defect priority (not severity)?,"Priority indicates how urgently a defect needs to be fixed (business urgency). Severity (A, B, C can also describe severity) indicates the impact on functionality. Both use similar scales but measure different things.",Answer 105,All of the above can be priorities
What does Code Coverage measure?,"Code coverage measures how much of the source code is exercised by the test suite. Common types include statement coverage, branch coverage, and path coverage.",Answer 107,The percentage of code executed by tests
Which testing type evaluates the system's behavior under expected load conditions?,Load testing evaluates system performance under expected/normal load conditions. Stress testing (A) tests beyond normal capacity. Volume testing (C) tests with large data volumes. Spike testing (D) tests sudden load increases.,Answer 111,Load Testing
What is a Test Oracle?,"A test oracle provides the expected result against which the actual result is compared. It can be documentation, existing systems, or automated oracles that determine pass/fail status.",Answer 115,A mechanism for determining whether a test has passed or failed
"In Risk-Based Testing, what determines the priority of test cases?",Risk-based testing prioritizes tests based on the risk level (probability of failure × impact of failure). High-risk areas receive more testing focus.,Answer 119,The likelihood and impact of potential failures
What is the purpose of the Traceability Matrix?,"A Requirements Traceability Matrix (RTM) links requirements to test cases, design elements, and code. It ensures test coverage of requirements and helps impact analysis when requirements change.",Answer 123,"To map requirements to test cases, ensuring all requirements are tested"
Which of the following best describes Unit Testing?,"Unit testing verifies the smallest testable parts of an application (functions, methods, classes) independently from the rest of the system, typically performed by developers.",Answer 127,Testing individual components or modules in isolation
What is Pair Testing?,"Pair testing involves two people (often a tester and developer, or two testers) working together at one workstation to test software, combining knowledge and perspectives in real-time.",Answer 131,Two team members working together to test the same feature
Which document describes the detailed steps to execute a specific test?,"A test case specifies inputs, execution conditions, and expected results for a particular test objective. Test plans (A) are higher-level documents; test strategies (B) define overall approaches.",Answer 136,Test Case
"What does ""Validation"" mean in software quality?",Validation checks whether the software meets user needs/requirements (the right product). Verification (A) checks whether the software conforms to specifications (built correctly).,Answer 139,Are we building the correct product?
Which tool type is used to perform static analysis on source code without executing it?,"Static analysis tools scan source code to find potential defects, security vulnerabilities, and code quality issues without running the program (e.g., SonarQube, PMD, ESLint).",Answer 143,Static analysis tool
What is the primary purpose of Acceptance Testing?,Acceptance testing (User Acceptance Testing - UAT) verifies that the system meets business requirements and is acceptable to end users/customers for deployment.,Answer 147,To determine if the system meets business requirements and is ready for deployment
Which of the following is a characteristic of good test cases?,"Good test cases are clear, specific, repeatable, traceable to requirements, and have unambiguous expected results. They should include preconditions, steps, and postconditions.",Answer 151,They are repeatable and have clear expected results
What does ISTQB stand for?,"ISTQB is the International Software Testing Qualifications Board, which provides internationally recognized certifications for software testers.",Answer 154,International Software Testing Qualifications Board
