Question text,Answer ID,Quiz Answer Description,
What is Quality assurance (QA)?,Answer 1,"Perceptual, conditional, and somewhat subjective attributes, and may be understood differently by different people.",
What is Quality assurance (QA)?,Answer 2,Any systematic process of checking to see whether a product or service being developed is meeting specified requirements,
What is Quality assurance (QA)?,Answer 3,Is a process of executing a program or application with the intent of finding software bugs,
What is Quality assurance (QA)?,Answer 4,Nothing above,
What is Software Testing?,Answer 5,A process of executing a program or application with the intent of finding software bugs,
What is Software Testing?,Answer 6,A process of evaluating a system by manual or automatic means and verifying that it satisfies specified requirements or identity differences between expected and actual results.,
What is Software Testing?,Answer 7,Any activity aimed at evaluating an attribute or capability of a program or system and determining that it meets its required results,
What is Software Testing?,Answer 8,All above,
Impact Analysis helps to decide:,Answer 9,Different Tools to perform Regression Testing,
Impact Analysis helps to decide:,Answer 10,Exit Criteria,
Impact Analysis helps to decide:,Answer 11,How many more test cases need to be written?,
Impact Analysis helps to decide:,Answer 12,How much regression testing should be done?,
Unreachable code would best be found using:,Answer 13,Code reviews,
Unreachable code would best be found using:,Answer 14,Code inspections,
Unreachable code would best be found using:,Answer 15,A coverage tool,
Unreachable code would best be found using:,Answer 16,A static analysis tool,
The main focus of acceptance testing is:,Answer 17,Finding faults in the system,
The main focus of acceptance testing is:,Answer 18,Ensuring that the system is acceptable to all users,
The main focus of acceptance testing is:,Answer 19,Testing the system with other systems,
The main focus of acceptance testing is:,Answer 20,Testing for a business perspective,
The main focus of acceptance testing is:,Answer 21,testing by an independent test team,
Before launching software which testing is to be done in-house?,Answer 22,Beta,
Before launching software which testing is to be done in-house?,Answer 23,Gamma,
Before launching software which testing is to be done in-house?,Answer 24,Alpha,
Before launching software which testing is to be done in-house?,Answer 25,None of the above,
Non-functional system testing includes:,Answer 26,Testing to see where the system does not function properly,
Non-functional system testing includes:,Answer 27,Testing a system feature using only the software required for that function,
Non-functional system testing includes:,Answer 28,"Testing quality attributes of the system, including performance and usability",
Non-functional system testing includes:,Answer 29,Testing for functions that should not exist,
What are the Types of Integration Testing?,Answer 30,Top Down Testing,
What are the Types of Integration Testing?,Answer 31,Big Bang Testing,
What are the Types of Integration Testing?,Answer 32,Bottom Up Testing,
What are the Types of Integration Testing?,Answer 33,All the above,
"Requirements/ Design Review, Test Planning, Test Environment Setup, Test Designing, Test Execution, and Test Reporting is called Software Testing Life Cycle (STLC)",Answer 34,TRUE,
"Requirements/ Design Review, Test Planning, Test Environment Setup, Test Designing, Test Execution, and Test Reporting is called Software Testing Life Cycle (STLC)",Answer 35,FALSE,
"Requirement and Analysis, Design, Development or Coding, Testing, and Maintenance is called a Software Development Life Cycle (SDLC )",Answer 36,TRUE,
